,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Current Description
20,Victoria,22.2855,114.1577,70.25,74,37,1.99,scattered clouds,HK,2021-10-24 22:18:09,
21,Baruun-Urt,46.6806,113.2792,34.38,44,4,5.39,clear sky,MN,2021-10-24 22:21:30,
22,Vostok,46.4856,135.8833,31.71,73,1,5.01,clear sky,RU,2021-10-24 22:21:31,
23,Punta Arenas,-53.15,-70.9167,44.71,42,40,32.21,scattered clouds,CL,2021-10-24 22:19:24,
24,Caravelas,-17.7125,-39.2481,77.36,86,2,10.45,clear sky,BR,2021-10-24 22:16:33,
25,Severo-Kurilsk,50.6789,156.125,39.02,75,46,19.69,scattered clouds,RU,2021-10-24 22:21:31,
26,Zyryanka,65.75,150.85,0.63,85,100,2.19,overcast clouds,RU,2021-10-24 22:21:32,
27,Mataura,-46.1927,168.8643,59.34,74,98,3.2,overcast clouds,NZ,2021-10-24 22:20:43,
28,Nioro,13.35,-15.75,81.18,77,100,4.76,overcast clouds,GM,2021-10-24 22:21:32,
29,Evensk,61.95,159.2333,6.35,79,68,3.85,broken clouds,RU,2021-10-24 22:21:33,
30,Klaksvik,62.2266,-6.589,50.92,88,92,25.72,overcast clouds,FO,2021-10-24 22:21:11,
31,Bac Lieu,9.285,105.7244,77.72,86,100,5.82,overcast clouds,VN,2021-10-24 22:21:33,
32,Esperance,-33.8667,121.9,68.0,40,100,8.23,overcast clouds,AU,2021-10-24 22:21:33,
33,Sovetskiy,61.3614,63.5842,30.07,92,100,4.16,light snow,RU,2021-10-24 22:21:34,
34,Georgetown,5.4112,100.3354,77.9,96,20,3.44,few clouds,MY,2021-10-24 22:20:45,
35,Bluff,-46.6,168.3333,54.43,90,96,4.32,overcast clouds,NZ,2021-10-24 22:21:03,
36,Christchurch,-43.5333,172.6333,68.02,73,1,3.0,clear sky,NZ,2021-10-24 22:20:46,
37,Kaitong,44.8135,123.15,40.26,57,6,8.19,clear sky,CN,2021-10-24 22:21:35,
38,Pevek,69.7008,170.3133,6.39,93,100,4.03,overcast clouds,RU,2021-10-24 22:21:35,
39,Narsaq,60.9167,-46.05,32.22,49,98,6.26,overcast clouds,GL,2021-10-24 22:21:35,
40,Katsuura,35.1333,140.3,57.11,63,64,6.91,broken clouds,JP,2021-10-24 22:21:36,
41,Jamestown,42.097,-79.2353,51.39,98,90,1.99,moderate rain,US,2021-10-24 22:21:36,
42,Barrow,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds,US,2021-10-24 22:21:37,
43,Ancud,-41.8697,-73.8203,55.42,86,86,16.75,overcast clouds,CL,2021-10-24 22:21:37,
44,Doka,13.5167,35.7667,78.24,48,11,6.42,few clouds,SD,2021-10-24 22:21:37,
45,Cabo San Lucas,22.8909,-109.9124,90.61,61,1,14.97,clear sky,MX,2021-10-24 22:16:51,
46,Roros,62.5747,11.3842,32.86,93,83,6.2,broken clouds,NO,2021-10-24 22:21:38,
47,Nuevo Progreso,23.1667,-97.95,89.6,57,93,1.99,overcast clouds,MX,2021-10-24 22:21:38,
48,Hermanus,-34.4187,19.2345,56.89,74,0,9.33,clear sky,ZA,2021-10-24 22:21:39,
49,Mantua,45.1667,10.7833,53.28,84,100,4.76,overcast clouds,IT,2021-10-24 22:21:39,
50,Albany,42.6001,-73.9662,52.81,74,100,3.67,overcast clouds,US,2021-10-24 22:21:39,
51,Lebu,-37.6167,-73.65,55.67,85,12,8.57,few clouds,CL,2021-10-24 22:21:40,
52,Iwanai,42.9744,140.5089,45.7,88,1,4.34,clear sky,JP,2021-10-24 22:21:40,
53,Magadan,59.5667,150.8,26.74,72,100,6.11,overcast clouds,RU,2021-10-24 22:21:40,
54,Yumen,40.2833,97.2,44.82,35,100,14.2,overcast clouds,CN,2021-10-24 22:21:41,
55,Mathbaria,22.2876,89.9593,70.93,89,1,3.29,clear sky,BD,2021-10-24 22:17:10,
56,Yellowknife,62.456,-114.3525,41.56,85,75,19.57,broken clouds,CA,2021-10-24 22:19:23,
57,Copiapo,-27.3667,-70.3333,55.09,32,0,6.17,clear sky,CL,2021-10-24 22:19:29,
58,Nome,64.5011,-165.4064,33.87,80,90,6.91,overcast clouds,US,2021-10-24 22:21:42,
59,Kargasok,59.0556,80.8572,38.44,94,100,5.46,overcast clouds,RU,2021-10-24 22:21:42,
60,Katherine,-14.4667,132.2667,84.52,61,49,5.75,scattered clouds,AU,2021-10-24 22:21:42,
61,Tuatapere,-46.1333,167.6833,58.23,88,98,3.04,moderate rain,NZ,2021-10-24 22:21:43,
62,Sept-Iles,50.2001,-66.3821,48.72,86,75,1.99,broken clouds,CA,2021-10-24 22:21:43,
63,Avarua,-21.2078,-159.775,77.05,57,20,13.8,few clouds,CK,2021-10-24 22:21:09,
64,Hilo,19.7297,-155.09,83.28,82,39,3.0,scattered clouds,US,2021-10-24 22:21:22,
65,Vestmanna,62.1564,-7.1664,49.12,100,90,17.27,overcast clouds,FO,2021-10-24 22:21:43,
66,Lavrentiya,65.5833,-171.0,22.3,82,100,10.42,overcast clouds,RU,2021-10-24 22:21:44,
67,Lata,40.1629,-8.3327,58.82,75,0,1.5,clear sky,PT,2021-10-24 22:21:44,
68,Chuy,-33.6971,-53.4616,60.57,68,0,7.38,clear sky,UY,2021-10-24 22:21:45,
69,Vaini,-21.2,-175.2,78.96,78,20,13.8,few clouds,TO,2021-10-24 22:21:45,
70,Dikson,73.5069,80.5464,9.18,87,100,18.19,overcast clouds,RU,2021-10-24 22:21:46,
71,Cockburn Town,21.4612,-71.1419,82.36,65,40,8.05,scattered clouds,TC,2021-10-24 22:21:46,
72,Port Alfred,-33.5906,26.891,59.07,74,12,11.01,few clouds,ZA,2021-10-24 22:21:47,
73,Tautira,-17.7333,-149.15,75.22,91,100,17.0,moderate rain,PF,2021-10-24 22:21:47,
74,Saint George,37.1041,-113.5841,74.62,31,1,1.99,clear sky,US,2021-10-24 22:21:48,
75,Beloha,-25.1667,45.05,72.39,82,78,9.8,broken clouds,MG,2021-10-24 22:21:50,
76,Hithadhoo,-0.6,73.0833,82.22,75,69,15.57,broken clouds,MV,2021-10-24 22:21:51,
77,Provideniya,64.3833,-173.3,24.91,63,0,8.95,clear sky,RU,2021-10-24 22:21:28,
78,Imbituva,-25.23,-50.6044,59.38,94,55,2.53,broken clouds,BR,2021-10-24 22:21:53,
79,Sistranda,63.7256,8.834,50.9,82,100,15.37,light rain,NO,2021-10-24 22:17:33,
80,Kapit,2.0167,112.9333,72.05,99,99,0.87,overcast clouds,MY,2021-10-24 22:21:54,
81,Vila Velha,-20.3297,-40.2925,78.75,83,20,13.8,few clouds,BR,2021-10-24 22:21:54,
82,Kununurra,-15.7667,128.7333,80.58,74,91,4.61,overcast clouds,AU,2021-10-24 22:21:55,
83,Tiznit,29.5833,-9.5,66.52,57,100,1.12,overcast clouds,MA,2021-10-24 22:21:55,
84,Jieshi,22.8134,115.8257,67.95,74,98,9.53,overcast clouds,CN,2021-10-24 22:21:56,
85,Bakau,13.4781,-16.6819,82.54,89,40,6.91,scattered clouds,GM,2021-10-24 22:21:56,
86,Oga,46.4631,10.347,45.68,52,72,3.47,broken clouds,IT,2021-10-24 22:21:56,
87,Saskylakh,71.9167,114.0833,-15.03,100,64,3.89,broken clouds,RU,2021-10-24 22:21:57,
88,East London,-33.0153,27.9116,60.13,76,48,11.05,scattered clouds,ZA,2021-10-24 22:21:58,
89,Cidreira,-30.1811,-50.2056,62.76,64,0,7.4,clear sky,BR,2021-10-24 22:21:50,
90,Port Elizabeth,-33.918,25.5701,52.11,87,0,1.14,clear sky,ZA,2021-10-24 22:21:59,
91,Qaanaaq,77.484,-69.3632,-4.61,62,0,11.97,clear sky,GL,2021-10-24 22:22:00,
92,Mahebourg,-20.4081,57.7,74.25,73,40,12.66,scattered clouds,MU,2021-10-24 22:22:00,
93,Salalah,17.0151,54.0924,75.29,78,0,3.44,clear sky,OM,2021-10-24 22:22:01,
94,Sinnamary,5.3833,-52.95,78.55,90,100,10.04,moderate rain,GF,2021-10-24 22:22:02,
95,Tiksi,71.6872,128.8694,-0.15,100,100,4.29,overcast clouds,RU,2021-10-24 22:22:02,
96,Poum,-20.2333,164.0167,75.6,73,55,10.74,broken clouds,NC,2021-10-24 22:22:03,
97,Ojiya,37.3,138.8,47.14,73,56,4.36,broken clouds,JP,2021-10-24 22:22:04,
98,Dubti,11.7361,41.0853,84.96,38,9,10.58,clear sky,ET,2021-10-24 22:22:04,
99,Zvishavane,-20.3267,30.0665,63.61,89,90,11.59,overcast clouds,ZW,2021-10-24 22:22:04,
100,Susanville,40.4163,-120.653,50.09,86,100,5.99,moderate rain,US,2021-10-24 22:22:05,
101,Flinders,-34.5833,150.8552,63.18,55,3,4.0,clear sky,AU,2021-10-24 22:22:05,
102,Talnakh,69.4865,88.3972,25.95,97,100,6.24,light snow,RU,2021-10-24 22:22:05,
103,Marawi,7.9986,124.2928,65.64,88,68,2.77,broken clouds,PH,2021-10-24 22:22:06,
104,Mayo,38.8876,-76.5119,68.56,79,1,8.99,clear sky,US,2021-10-24 22:22:06,
105,Maniitsoq,65.4167,-52.9,25.77,55,9,8.55,clear sky,GL,2021-10-24 22:22:07,
106,Ngama,11.7833,17.1667,87.91,32,18,2.57,few clouds,TD,2021-10-24 22:22:07,
107,Vila Franca Do Campo,37.7167,-25.4333,64.81,77,0,5.99,clear sky,PT,2021-10-24 22:22:07,
108,Hay River,60.8156,-115.7999,40.98,87,90,9.22,light rain,CA,2021-10-24 22:22:08,
109,Manokwari,-0.8667,134.0833,78.85,75,100,2.26,overcast clouds,ID,2021-10-24 22:22:08,
110,Sitka,57.0531,-135.33,49.89,50,40,0.0,scattered clouds,US,2021-10-24 22:22:09,
111,Buraydah,26.326,43.975,73.85,27,0,7.49,clear sky,SA,2021-10-24 22:22:09,
112,Paamiut,61.994,-49.6678,30.52,43,0,14.38,clear sky,GL,2021-10-24 22:22:09,
113,Marshfield,44.6689,-90.1718,47.66,57,1,10.36,clear sky,US,2021-10-24 22:22:10,
114,Khorramshahr,30.4397,48.1664,75.16,35,0,4.61,clear sky,IR,2021-10-24 22:22:10,
115,Ponta Do Sol,32.6667,-17.1,70.72,71,97,6.35,overcast clouds,PT,2021-10-24 22:22:11,
116,Cayenne,4.9333,-52.3333,81.09,88,75,5.01,moderate rain,GF,2021-10-24 22:22:11,
117,Romilly-Sur-Seine,48.5108,3.7263,42.12,63,1,4.97,clear sky,FR,2021-10-24 22:22:11,
118,Kodiak,57.79,-152.4072,45.91,76,90,5.75,overcast clouds,US,2021-10-24 22:22:12,
119,Khatanga,71.9667,102.5,0.43,89,77,16.55,broken clouds,RU,2021-10-24 22:20:56,
120,Arlit,18.7369,7.3853,83.97,11,3,4.21,clear sky,NE,2021-10-24 22:22:12,
121,Keuruu,62.2667,24.7,37.8,99,100,7.2,overcast clouds,FI,2021-10-24 22:22:13,
122,Yerbogachen,61.2767,108.0108,34.5,97,100,9.8,light rain,RU,2021-10-24 22:22:13,
123,Atar,20.5169,-13.0499,85.39,20,34,3.09,scattered clouds,MR,2021-10-24 22:22:14,
124,Silveira,39.1112,-9.3643,61.25,94,26,1.99,scattered clouds,PT,2021-10-24 22:22:15,
125,Norman Wells,65.282,-126.8329,23.04,93,90,5.75,overcast clouds,CA,2021-10-24 22:22:15,
126,Ocampo,21.65,-101.5,74.28,32,95,5.23,overcast clouds,MX,2021-10-24 22:22:15,
127,Bredasdorp,-34.5322,20.0403,49.28,87,0,4.61,clear sky,ZA,2021-10-24 22:22:16,
128,Bima,-8.4667,118.7167,76.93,86,70,3.33,broken clouds,ID,2021-10-24 22:22:17,
129,Puerto Ayora,-0.7393,-90.3518,78.76,86,100,10.85,overcast clouds,EC,2021-10-24 22:20:59,
130,Ribeira Grande,38.5167,-28.7,66.69,72,10,9.08,clear sky,PT,2021-10-24 22:21:26,
131,Pisco,-13.7,-76.2167,66.25,68,0,21.85,clear sky,PE,2021-10-24 22:22:19,
132,Dnestrovsc,46.6222,29.9133,44.96,62,8,7.67,clear sky,MD,2021-10-24 22:22:19,
133,Broome,42.2506,-75.833,53.02,80,90,1.01,overcast clouds,US,2021-10-24 22:22:20,
134,New Norfolk,-42.7826,147.0587,50.67,61,99,1.99,overcast clouds,AU,2021-10-24 22:22:20,
135,Acapulco,16.8634,-99.8901,75.02,94,90,13.8,overcast clouds,MX,2021-10-24 22:22:21,
136,Ternate,0.8,127.4,79.93,80,70,4.85,broken clouds,ID,2021-10-24 22:22:21,
137,Yulara,-25.2406,130.9889,66.04,42,0,11.5,clear sky,AU,2021-10-24 22:22:22,
138,Nantucket,41.2835,-70.0995,54.01,62,1,8.05,clear sky,US,2021-10-24 22:21:34,
139,Kokoshkino,55.5977,37.1695,31.89,80,0,8.95,clear sky,RU,2021-10-24 22:22:23,
140,Nelson Bay,-32.7167,152.15,68.11,66,22,1.99,few clouds,AU,2021-10-24 22:22:23,
141,Springbok,-29.6643,17.8865,60.48,26,0,9.31,clear sky,ZA,2021-10-24 22:22:24,
142,Road Town,18.4167,-64.6167,82.49,89,40,10.36,scattered clouds,VG,2021-10-24 22:22:24,
143,Akyab,20.15,92.9,76.23,77,92,4.9,overcast clouds,MM,2021-10-24 22:22:24,
144,Paita,-5.0892,-81.1144,70.36,76,47,17.58,scattered clouds,PE,2021-10-24 22:22:25,
145,Cap Malheureux,-19.9842,57.6142,74.46,70,87,5.99,overcast clouds,MU,2021-10-24 22:22:25,
146,Ulaangom,49.9811,92.0667,31.42,72,17,0.2,few clouds,MN,2021-10-24 22:22:25,
147,Kapaa,22.0752,-159.319,84.18,76,20,4.0,few clouds,US,2021-10-24 22:20:48,
148,Vikulovo,56.8167,70.6107,47.59,81,100,15.9,overcast clouds,RU,2021-10-24 22:22:26,
149,Tilichiki,60.4667,166.1,8.28,90,50,8.12,scattered clouds,RU,2021-10-24 22:22:26,
150,Alofi,-19.0595,-169.9187,80.49,54,65,18.41,broken clouds,NU,2021-10-24 22:22:28,
151,Butaritari,3.0707,172.7902,81.48,72,48,3.24,scattered clouds,KI,2021-10-24 22:22:28,
152,Clyde River,70.4692,-68.5914,11.97,80,63,5.57,broken clouds,CA,2021-10-24 22:22:28,
153,Mar Del Plata,-38.0023,-57.5575,64.42,39,0,9.22,clear sky,AR,2021-10-24 22:19:10,
154,Souillac,-20.5167,57.5167,74.35,73,40,12.66,scattered clouds,MU,2021-10-24 22:22:29,
155,Upernavik,72.7868,-56.1549,15.93,67,89,8.21,overcast clouds,GL,2021-10-24 22:22:29,
156,Castro,-24.7911,-50.0119,56.71,96,90,3.09,moderate rain,BR,2021-10-24 22:22:30,
157,Doha,25.2867,51.5333,82.29,72,0,1.14,clear sky,QA,2021-10-24 22:21:35,
158,Tucuman,-26.8241,-65.2226,86.0,17,0,18.41,clear sky,AR,2021-10-24 22:17:59,
159,San-Pedro,4.7485,-6.6363,76.78,89,98,5.73,overcast clouds,CI,2021-10-24 22:22:30,
160,Bengkulu,-3.8004,102.2655,75.13,89,100,5.39,overcast clouds,ID,2021-10-24 22:22:07,
161,Chernyy Yar,48.0624,46.1091,47.44,55,100,6.6,overcast clouds,RU,2021-10-24 22:22:32,
162,Popova,42.9603,131.7228,28.49,60,0,3.87,clear sky,RU,2021-10-24 22:22:32,
163,Darnah,32.767,22.6367,73.06,64,92,12.15,overcast clouds,LY,2021-10-24 22:22:32,
164,Aksu,41.1231,80.2644,46.99,46,0,4.27,clear sky,CN,2021-10-24 22:22:33,
165,Geraldton,-28.7667,114.6,62.13,94,40,3.44,scattered clouds,AU,2021-10-24 22:22:33,
166,Kampot,10.6167,104.1833,78.85,89,99,8.3,overcast clouds,KH,2021-10-24 22:22:33,
167,Naze,28.3667,129.4833,68.92,80,77,9.73,broken clouds,JP,2021-10-24 22:22:34,
168,Baiyin,36.5583,104.2081,38.28,66,24,6.51,few clouds,CN,2021-10-24 22:22:34,
169,Mnogovershinnyy,53.9353,139.9242,29.75,88,71,4.63,broken clouds,RU,2021-10-24 22:22:35,
170,Ponot,8.452,123.0222,77.79,88,50,2.48,scattered clouds,PH,2021-10-24 22:22:35,
171,Adrar,20.5022,-10.0711,84.18,22,22,7.07,few clouds,MR,2021-10-24 22:22:35,
172,Nikolskoye,59.7035,30.7861,34.88,80,85,5.66,overcast clouds,RU,2021-10-24 22:22:36,
173,Tezu,27.9167,96.1667,68.77,73,39,2.77,scattered clouds,IN,2021-10-24 22:22:36,
174,Namibe,-15.1961,12.1522,63.81,84,0,4.03,clear sky,AO,2021-10-24 22:22:36,
175,Fare,-16.7,-151.0167,75.29,90,100,6.51,moderate rain,PF,2021-10-24 22:22:16,
176,Kabalo,-6.05,26.9167,68.45,96,100,3.89,overcast clouds,CD,2021-10-24 22:22:37,
177,Tigil,57.8,158.6667,18.61,99,82,4.38,broken clouds,RU,2021-10-24 22:22:37,
178,Faanui,-16.4833,-151.75,76.28,87,100,15.19,light rain,PF,2021-10-24 22:22:37,
179,The Pas,53.8251,-101.2541,39.22,70,90,18.41,overcast clouds,CA,2021-10-24 22:22:38,
180,Zigong,29.3416,104.7769,60.57,78,100,0.89,overcast clouds,CN,2021-10-24 22:22:14,
181,Hasaki,35.7333,140.8333,54.0,53,26,7.72,scattered clouds,JP,2021-10-24 22:21:23,
182,Pangkalanbuun,-2.6833,111.6167,73.65,96,28,1.19,scattered clouds,ID,2021-10-24 22:22:38,
183,Ilulissat,69.2167,-51.1,21.22,58,75,14.97,broken clouds,GL,2021-10-24 22:22:39,
184,Mehamn,71.0357,27.8492,27.64,78,84,6.71,broken clouds,NO,2021-10-24 22:22:39,
185,Aloleng,16.1307,119.7824,79.63,76,100,5.26,overcast clouds,PH,2021-10-24 22:22:39,
186,Kruisfontein,-34.0033,24.7314,49.89,81,0,3.11,clear sky,ZA,2021-10-24 22:22:40,
187,Leningradskiy,69.3833,178.4167,8.08,91,100,6.71,overcast clouds,RU,2021-10-24 22:22:19,
188,Vrangel,42.7297,133.0839,48.0,77,0,4.54,clear sky,RU,2021-10-24 22:22:41,
189,Kiunga,-6.1219,141.2906,73.96,94,100,0.49,overcast clouds,PG,2021-10-24 22:22:42,
190,Almeirim,-1.5233,-52.5817,82.72,63,86,5.01,overcast clouds,BR,2021-10-24 22:22:42,
191,Port Macquarie,-31.4333,152.9167,70.9,69,18,1.3,few clouds,AU,2021-10-24 22:22:43,
192,Codrington,-38.2667,141.9667,52.41,65,100,10.65,overcast clouds,AU,2021-10-24 22:22:43,
193,Soyo,-6.1349,12.3689,77.27,83,96,9.06,light rain,AO,2021-10-24 22:22:43,
194,Cururupu,-1.8283,-44.8683,78.04,84,22,3.89,few clouds,BR,2021-10-24 22:22:43,
195,Krasnyy Chikoy,50.3643,108.7512,27.61,83,29,2.91,scattered clouds,RU,2021-10-24 22:22:44,
196,Carnarvon,-24.8667,113.6333,68.07,73,75,12.66,broken clouds,AU,2021-10-24 22:22:44,
197,Pacific Grove,36.6177,-121.9166,68.11,85,90,14.0,overcast clouds,US,2021-10-24 22:19:10,
198,Cravo Norte,6.3017,-70.2041,84.51,65,99,7.96,overcast clouds,CO,2021-10-24 22:22:45,
199,Glomfjord,66.8167,13.9667,37.2,94,100,8.66,moderate rain,NO,2021-10-24 22:22:45,
200,Sobolevo,54.4299,31.8996,29.44,89,28,5.61,scattered clouds,RU,2021-10-24 22:22:45,
201,Nador,35.174,-2.9287,62.85,88,0,3.44,clear sky,MA,2021-10-24 22:22:46,
202,Yar-Sale,66.8333,70.8333,23.31,79,26,15.21,scattered clouds,RU,2021-10-24 22:22:46,
203,Hamilton,39.1834,-84.5333,74.98,88,1,11.5,clear sky,US,2021-10-24 22:20:43,
204,Gwadar,25.1216,62.3254,77.92,69,0,2.1,clear sky,PK,2021-10-24 22:22:47,
205,Hammerfest,70.6634,23.6821,27.05,80,0,3.44,clear sky,NO,2021-10-24 22:22:47,
206,Dandong,40.1292,124.3947,44.38,86,1,3.4,clear sky,CN,2021-10-24 22:22:47,
207,Pangnirtung,66.1451,-65.7125,21.56,92,92,1.5,overcast clouds,CA,2021-10-24 22:22:48,
208,Kalmunai,7.4167,81.8167,77.81,85,100,6.11,overcast clouds,LK,2021-10-24 22:22:48,
209,Inta,66.0317,60.1659,25.14,96,100,9.98,light snow,RU,2021-10-24 22:22:49,
210,Ahipara,-35.1667,173.1667,65.98,71,16,3.6,few clouds,NZ,2021-10-24 22:22:49,
211,Husavik,66.0449,-17.3389,39.11,96,100,15.01,overcast clouds,IS,2021-10-24 22:22:49,
212,Dali,25.7,100.1833,55.92,93,69,3.91,broken clouds,CN,2021-10-24 22:22:50,
213,Mishan,45.55,131.8833,39.49,68,0,4.76,clear sky,CN,2021-10-24 22:22:50,
214,Marzuq,14.4,46.4667,71.24,22,2,1.86,clear sky,YE,2021-10-24 22:22:50,
215,Vao,-22.6667,167.4833,70.57,70,12,13.29,few clouds,NC,2021-10-24 22:22:51,
216,Saint-Philippe,-21.3585,55.7679,72.99,83,47,16.37,light rain,RE,2021-10-24 22:22:51,
217,Correntina,-13.3433,-44.6367,79.54,61,97,3.2,overcast clouds,BR,2021-10-24 22:22:51,
218,Riyadh,24.6877,46.7219,75.34,22,0,9.26,clear sky,SA,2021-10-24 22:22:52,
219,Te Anau,-45.4167,167.7167,57.27,90,99,1.61,overcast clouds,NZ,2021-10-24 22:22:53,
220,Coquimbo,-29.9533,-71.3436,60.53,77,0,12.66,clear sky,CL,2021-10-24 22:22:53,
221,La Roda,39.2167,-2.15,56.91,39,0,1.28,clear sky,ES,2021-10-24 22:22:53,
222,Cairns,-16.9167,145.7667,84.94,67,15,5.75,few clouds,AU,2021-10-24 22:22:54,
223,Karlshamn,56.1706,14.8619,48.69,83,49,10.4,scattered clouds,SE,2021-10-24 22:22:54,
224,Whitehorse,60.7161,-135.0538,39.02,69,20,5.99,few clouds,CA,2021-10-24 22:22:54,
225,Murray Bridge,-35.1167,139.2667,57.43,67,0,4.36,clear sky,AU,2021-10-24 22:22:55,
226,Wabrzezno,53.2799,18.9477,38.82,84,39,8.25,scattered clouds,PL,2021-10-24 22:22:55,
227,Vangaindrano,-23.35,47.6,74.93,94,85,7.27,light rain,MG,2021-10-24 22:22:55,
228,North Bend,43.4065,-124.2243,58.91,82,90,20.71,overcast clouds,US,2021-10-24 22:22:56,
229,Pemberton,50.3164,-122.8027,47.89,94,100,3.53,overcast clouds,CA,2021-10-24 22:22:56,
230,Quatre Cocos,-20.2078,57.7625,74.08,72,85,13.24,overcast clouds,MU,2021-10-24 22:22:57,
231,Bathsheba,13.2167,-59.5167,81.21,78,40,21.85,scattered clouds,BB,2021-10-24 22:22:57,
232,Lebedinyy,58.5167,125.5167,29.14,90,100,9.55,light snow,RU,2021-10-24 22:22:57,
233,Kahului,20.8947,-156.47,85.26,71,20,24.16,few clouds,US,2021-10-24 22:22:13,
234,Fethiye,36.6217,29.1164,62.47,45,8,6.02,clear sky,TR,2021-10-24 22:22:58,
235,Tutubigan,11.8397,125.0614,74.57,96,98,2.3,overcast clouds,PH,2021-10-24 22:22:59,
236,Khartoum,15.5518,32.5324,89.02,28,1,16.58,clear sky,SD,2021-10-24 22:22:59,
237,Constitucion,-35.3333,-72.4167,60.62,73,2,17.4,clear sky,CL,2021-10-24 22:22:59,
238,Linxia,35.6003,103.2064,43.36,75,63,2.19,broken clouds,CN,2021-10-24 22:23:00,
239,Tres Picos,15.8667,-93.5333,85.21,72,32,5.97,scattered clouds,MX,2021-10-24 22:23:00,
240,Saiha,22.4833,92.9667,63.81,84,3,2.86,clear sky,IN,2021-10-24 22:23:00,
241,Coihaique,-45.5752,-72.0662,46.35,87,90,4.61,heavy intensity rain,CL,2021-10-24 22:23:01,
242,Inhambane,-23.865,35.3833,72.93,90,100,4.09,light rain,MZ,2021-10-24 22:23:02,
243,Gat,31.61,34.7642,68.81,100,0,3.11,clear sky,IL,2021-10-24 22:22:02,
244,Mountain Home,43.133,-115.6912,51.12,100,40,24.16,moderate rain,US,2021-10-24 22:22:46,
245,Vestmannaeyjar,63.4427,-20.2734,45.72,92,100,6.87,overcast clouds,IS,2021-10-24 22:23:03,
246,Gornopravdinsk,60.05,69.9,37.11,97,100,5.23,light rain,RU,2021-10-24 22:23:04,
247,Seymchan,62.8833,152.4333,4.55,83,100,3.69,overcast clouds,RU,2021-10-24 22:21:33,
248,Sayanogorsk,53.0875,91.3997,44.85,86,100,5.86,overcast clouds,RU,2021-10-24 22:23:05,
249,Setermoen,68.861,18.3486,32.11,71,100,5.01,overcast clouds,NO,2021-10-24 22:23:06,
250,Pithoragarh,29.5833,80.2167,47.17,91,29,3.6,scattered clouds,IN,2021-10-24 22:23:06,
251,Sandpoint,48.2766,-116.5533,52.61,84,90,6.91,overcast clouds,US,2021-10-24 22:19:23,
252,Srednekolymsk,67.45,153.6833,-4.88,94,100,1.63,overcast clouds,RU,2021-10-24 22:23:06,
253,Hirara,24.8,125.2833,76.86,78,40,8.05,scattered clouds,JP,2021-10-24 22:23:07,
254,Tiarei,-17.5333,-149.3333,75.22,93,100,13.89,moderate rain,PF,2021-10-24 22:23:07,
255,Arraial Do Cabo,-22.9661,-42.0278,71.49,94,100,16.31,overcast clouds,BR,2021-10-24 22:23:07,
256,Nazca,-14.8333,-74.95,77.36,35,1,8.48,clear sky,PE,2021-10-24 22:23:08,
257,Fereydunshahr,32.941,50.121,35.2,65,0,2.64,clear sky,IR,2021-10-24 22:23:08,
258,Thompson,55.7435,-97.8558,32.16,86,90,2.3,overcast clouds,CA,2021-10-24 22:23:09,
